name,album,lyrics_raw,lyrics_clean
...Baby One More Time - Davidson Ospina Radio Mix,...Baby One More Time,,
...Baby One More Time - Boy Wunder Radio Mix,...Baby One More Time,,
Autumn Goodbye,...Baby One More Time,"I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

Thinkin' of you and the love of our lives
In the sweet summertime
So sad but true (So true, so true)
We must leave it behind
In our hearts, in our minds
From April through September
Bittersweet was the love that we share
Don't forget, I remember

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

Memories can fade
But my heart has a place for the smile on your face
And maybe someday we can be more than friends
Love will find us again
Red leaves and blue tomorrows
Time will give back the love that we shared
On the time that we borrowed

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

From April through September
Bittersweet was the love that we share
Don't forget, I remember baby

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

We'll leave behind, the summertime
Our hearts, our minds, they will remind
We won't forget, the day we met
The day we cried, autumn goodbye

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye, autumn goodbye

I never promised you a happy ending
You never said you wouldn't make me cry
But summer love will keep us warm long after
Our autumn goodbye, autumn goodbye...",i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye thinkin' of you and the love of our lives in the sweet summertime so sad but true so true so true we must leave it behind in our hearts in our minds from april through september bittersweet was the love that we share don't forget i remember i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye memories can fade but my heart has a place for the smile on your face and maybe someday we can be more than friends love will find us again red leaves and blue tomorrows time will give back the love that we shared on the time that we borrowed i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye from april through september bittersweet was the love that we share don't forget i remember baby i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye we'll leave behind the summertime our hearts our minds they will remind we won't forget the day we met the day we cried autumn goodbye i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye autumn goodbye i never promised you a happy ending you never said you wouldn't make me cry but summer love will keep us warm long after our autumn goodbye autumn goodbye
I'll Never Stop Loving You,...Baby One More Time,"They say in this world, nothing lasts forever
But I don't believe that's true.
'Cuz the way that I feel, when we're together,
I know that's the way I'll always feel for you.

From now until forever,
That's how long I'll be true
I'll make you this vow and promise you now
Until forever, I'll never stop loving you.

There'll come a day when the world stops turning,
And stars will fall from the sky
But this feeling will last when the sun stops burning.
All I want to do is love you until the end of time.

From now until forever,
That's how long I'll be true
I'll make you this vow and promise you now
Until forever, I'll never stop, never stop, I'll never stop loving you.

It's gonna take more than a lifetime,
to give you all my love,
all the love I feel for you tonight.
From now until forever,
That's how long I'll be true
I'll make you this vow and promise you now
Until forever, I'll never stop loving you.
From now until...(oh yeah)
That's how long I'll be true (true)
I'll make you this vow (oh yeah) and promise you now

Until forever, I'll never stop loving you.

You...Until forever, yeah...I'll never stop loving you.",they say in this world nothing lasts forever but i don't believe that's true 'cuz the way that i feel when we're together i know that's the way i'll always feel for you from now until forever that's how long i'll be true i'll make you this vow and promise you now until forever i'll never stop loving you there'll come a day when the world stops turning and stars will fall from the sky but this feeling will last when the sun stops burning all i want to do is love you until the end of time from now until forever that's how long i'll be true i'll make you this vow and promise you now until forever i'll never stop never stop i'll never stop loving you it's gonna take more than a lifetime to give you all my love all the love i feel for you tonight from now until forever that's how long i'll be true i'll make you this vow and promise you now until forever i'll never stop loving you from now until oh yeah that's how long i'll be true true i'll make you this vow oh yeah and promise you now until forever i'll never stop loving you you until forever yeah i'll never stop loving you
Thinkin' About You,...Baby One More Time,"Ah, oh-oh
Ah, oh-oh

Friends say, I'm away
Because I'm down with you every day
They say, break away
I'm missing out on the fun and games
But you smile and the words they tell me quickly disappear
You speak and there's is no other voice that I can hear

I spend my days (ooh, ooh) with you (I spend my days)
I spend my nights (my nights) thinkin' about you (thinking about you babe)

I spend my days (all day, all night) with you (with you)
I spend my nights (my nights) thinkin' about you

You stay on my mind, oh
And I think about you all the time (all the time)
Day and night
Feels so right
And for us there is no end in sight, ooh

Each day that I spend around you
Passes by too fast
Each night that I spend without you
Is longer than the last

I spend my days (i spend my days) with you (thinking about you babe)
I spend my nights (my nights) thinkin' about you (all day, all night)

I spend my days (my days) with you (thinking about you)
I spend my nights (my nights) thinkin' about you (thinking about you babe)

Ooh, you know I can't get enough of you (can't get enough yeah)
Uh-uh, you know that 24 hours won't ever, ever do (never)

I spend my days (i spend my days) with you (thinking about you babe)
I spend my nights (my nights) thinkin' about you (all day, all night)
I spend my days (my days) with you (thinking about you)
I spend my nights (my nights) thinkin' about you (thinking about you babe)

I spend my days (i spend my days) with you (thinking about you babe)
I spend my nights (my nights) thinkin' about you (all day, all night)
I spend my days (my days) with you (thinking about you)
I spend my nights (my nights) thinkin' about you (thinking about you babe)",ah oh oh ah oh oh friends say i'm away because i'm down with you every day they say break away i'm missing out on the fun and games but you smile and the words they tell me quickly disappear you speak and there's is no other voice that i can hear i spend my days ooh ooh with you i spend my days i spend my nights my nights thinkin' about you thinking about you babe i spend my days all day all night with you with you i spend my nights my nights thinkin' about you you stay on my mind oh and i think about you all the time all the time day and night feels so right and for us there is no end in sight ooh each day that i spend around you passes by too fast each night that i spend without you is longer than the last i spend my days i spend my days with you thinking about you babe i spend my nights my nights thinkin' about you all day all night i spend my days my days with you thinking about you i spend my nights my nights thinkin' about you thinking about you babe ooh you know i can't get enough of you can't get enough yeah uh uh you know that hours won't ever ever do never i spend my days i spend my days with you thinking about you babe i spend my nights my nights thinkin' about you all day all night i spend my days my days with you thinking about you i spend my nights my nights thinkin' about you thinking about you babe i spend my days i spend my days with you thinking about you babe i spend my nights my nights thinkin' about you all day all night i spend my days my days with you thinking about you i spend my nights my nights thinkin' about you thinking about you babe
Deep In My Heart,...Baby One More Time,"Ooh, ooh, ooh, ooh
Oh, oh, I want you for the rest of my life, oh yeah
Walking through time looking for an answer
How can it be this way

What have I done, I just can't help but wonder
How everything could change
'Cause you've turned my world around
Since you came along, no
After this love was found
It seems like we can't go wrong

Deep in my heart, I know there's only you
And right from the start I always knew
I never let go 'cause I love you so
Oh, oh, I want you for the rest of my life, oh, oh yeah

Some people search what seems to be a lifetime
To find a love like this, oh yeah
And here we are, with everything we wished for
I never felt such bliss, oh

'Cause you've turned my world around
Since you came along, no
After this love was found
It seems like we can't go wrong

Deep in my heart, I know there's only you
And right from the start I always knew
I never let go 'cause I love you so
Oh, oh, I want you for the rest of my life

Oh, yeah, oh, oh
There comes a chance in everyone's life
And I believe it won't happen twice
Now since I felt the glory of love
I want spend forever (and ever with you)

Deep in my heart, I know there's only you (only you)
And right from the start I always knew
I never let go 'cause I love you so (I love you so)
Oh, oh, I want you for the rest of my life

Deep in my heart, I know there's only you (only you, only you)
And right from the start I always knew
I never let go 'cause I love you so
Oh, oh, I want you

Deep in my heart
(Deep in my heart)
Oh, yeah
Oh oh, I want you for the rest of my life
I want you now forever
Oh, oh I want you for the rest of my life",ooh ooh ooh ooh oh oh i want you for the rest of my life oh yeah walking through time looking for an answer how can it be this way what have i done i just can't help but wonder how everything could change 'cause you've turned my world around since you came along no after this love was found it seems like we can't go wrong deep in my heart i know there's only you and right from the start i always knew i never let go 'cause i love you so oh oh i want you for the rest of my life oh oh yeah some people search what seems to be a lifetime to find a love like this oh yeah and here we are with everything we wished for i never felt such bliss oh 'cause you've turned my world around since you came along no after this love was found it seems like we can't go wrong deep in my heart i know there's only you and right from the start i always knew i never let go 'cause i love you so oh oh i want you for the rest of my life oh yeah oh oh there comes a chance in everyone's life and i believe it won't happen twice now since i felt the glory of love i want spend forever and ever with you deep in my heart i know there's only you only you and right from the start i always knew i never let go 'cause i love you so i love you so oh oh i want you for the rest of my life deep in my heart i know there's only you only you only you and right from the start i always knew i never let go 'cause i love you so oh oh i want you deep in my heart deep in my heart oh yeah oh oh i want you for the rest of my life i want you now forever oh oh i want you for the rest of my life
The Beat Goes On,...Baby One More Time,"Drums keep pounding a rhythm to the brain
La-dee-da-dee-dee
La-dee-da-dee-da
Wait till you have reached the age
Blah blah
History has turned the page
Blah blah
We still want to hear a brand new thing
Uh huh
We still need a song to sing
Uh huh
And the beat goes on (6x)
Drums keep pounding rhythm to the brain
La-dee-da-dee-dee
La-dee-da-dee-da
Love is the first thing and last thing on our minds

From tomorrow until the end of time
And the beat goes on (4x)
And the beat goes
And the beat goes
And the beat goes on
Drums keep pounding rhythm to the brain
La-dee-da-dee-dee
La-dee-da-dee-da
We still move to a rhythm just like this
We still dream of sharing our first kiss
And the beat goes on (4x)
Drums keep pounding a rhythm to the brain
La-dee-da-dee-dee
La-dee-da-dee-da
The world keeps turning faster everyday (everyday)
We still want to dance the night away
And the beat goes on and on and on

And the beat goes on and on and on
And the beat goes on and on and on
And the beat goes on and on and on...
(to fade)",drums keep pounding a rhythm to the brain la dee da dee dee la dee da dee da wait till you have reached the age blah blah history has turned the page blah blah we still want to hear a brand new thing uh huh we still need a song to sing uh huh and the beat goes on x drums keep pounding rhythm to the brain la dee da dee dee la dee da dee da love is the first thing and last thing on our minds from tomorrow until the end of time and the beat goes on x and the beat goes and the beat goes and the beat goes on drums keep pounding rhythm to the brain la dee da dee dee la dee da dee da we still move to a rhythm just like this we still dream of sharing our first kiss and the beat goes on x drums keep pounding a rhythm to the brain la dee da dee dee la dee da dee da the world keeps turning faster everyday everyday we still want to dance the night away and the beat goes on and on and on and the beat goes on and on and on and the beat goes on and on and on and the beat goes on and on and on to fade
E-Mail My Heart,...Baby One More Time,"Forever...
It's been hours
seems like days
since you went away
and all I do is check the screen
to see if you're okay
you don't answer when I phone
guess you wanna be left alone
so I'm sending you my heart my soul
and this is what I'll say
I'm sorry
oh so sorry can't you give me one more chance
to make it all up to you
E-mail my heart
and say our love will never die (and I)
I know you're out there

and I know that you still care (I know you care)
e-mail me back and say our love will stay alive
Forever...e-mail my heart
I can see you in my mind
coming on the line
and opening this letter
that I've sent a hundred times
here's a picture of us two (us two)
I look so good on you (on you)
and can't you please forgive me
for the hurt I put you through
I'm sorry
oh so sorry can't you give me one more chance
to make it all up to you
E-mail my heart
and say our love will never die (and I)
I know you're out there
and I know that you still care (I know you care)

e-mail me back and say our love will stay alive
Forever...e-mail my heart
I'm sorry
oh so sorry can't you give me one more chance
to make it all up to you
E-mail my heart
and say our love will never die (and I)
I know you're out there
and I know that you still care (I know you care)
e-mail me back and say our love will stay alive
Forever...e-mail my heart
Forever...e-mail my
forever...e-mail my heart",forever it's been hours seems like days since you went away and all i do is check the screen to see if you're okay you don't answer when i phone guess you wanna be left alone so i'm sending you my heart my soul and this is what i'll say i'm sorry oh so sorry can't you give me one more chance to make it all up to you e mail my heart and say our love will never die and i i know you're out there and i know that you still care i know you care e mail me back and say our love will stay alive forever e mail my heart i can see you in my mind coming on the line and opening this letter that i've sent a hundred times here's a picture of us two us two i look so good on you on you and can't you please forgive me for the hurt i put you through i'm sorry oh so sorry can't you give me one more chance to make it all up to you e mail my heart and say our love will never die and i i know you're out there and i know that you still care i know you care e mail me back and say our love will stay alive forever e mail my heart i'm sorry oh so sorry can't you give me one more chance to make it all up to you e mail my heart and say our love will never die and i i know you're out there and i know that you still care i know you care e mail me back and say our love will stay alive forever e mail my heart forever e mail my forever e mail my heart
I Will Be There,...Baby One More Time,"Oh yeah
You don't have to say what's on your mind
'Cause I know where you've been
Give it up and leave it all behind
And then let me begin
Come on over here
Let me show how things should be
I will make it alright
Let me make it clear
You can put your trust in me
Yes I will be there
Chorus:
When you need someone
You just turn around
And I, will be there
When you're feeling low

Baby let me know
And I, will be there
Won't you let me make it up to you
Now you know where I am
There ain't nothin that I wouldn't do
Just to love once again
Come on over here
Let me show how things should be
I will make it alright
Let me make it clear
You can put your trust in me
Yes I will be there
CHORUS
I will be there
Just take a stand
I'll be here for you
Now and forever
Give one more chance

To show you how much I care
I'll be there
When you need someone
Just turn around
And I will be there
When you're in sorrow
Just let me know and I will be there
CHORUS",oh yeah you don't have to say what's on your mind 'cause i know where you've been give it up and leave it all behind and then let me begin come on over here let me show how things should be i will make it alright let me make it clear you can put your trust in me yes i will be there chorus when you need someone you just turn around and i will be there when you're feeling low baby let me know and i will be there won't you let me make it up to you now you know where i am there ain't nothin that i wouldn't do just to love once again come on over here let me show how things should be i will make it alright let me make it clear you can put your trust in me yes i will be there chorus i will be there just take a stand i'll be here for you now and forever give one more chance to show you how much i care i'll be there when you need someone just turn around and i will be there when you're in sorrow just let me know and i will be there chorus
I Will Still Love You (with Don Philip),...Baby One More Time,"Britney:
Time may take us apart, but I will still love you. I promise.
Britney:
Oh oh oh oh oh oh yeah
Beide:
And when the stars, stars are falling
I'll keep calling
Britney:
I promise that you'll be my one my only everything
I'll never be untrue
Don Philip:
And I promise back that for your love I will do anything
Britney:
I will give you the stars
Don Philip:
I will buy you the moon
Britney:
Even through the longest of our nights
Don Philip:
And even through the darkest days our
Beide:
Love will find a way
And when the stars are falling, I'll keep calling
I will still love you
And when your dreams are fading, I'll be waiting
I will still love you
Britney:
You are my summer breeze my winter sun my springtime song my autumn touch of gold, yeah
Don Philip:
You are my sky my rain the earth in which my love grows strong
Beide:
The smile of my heart and the breath of my soul
Britney:
Even if we find ourselves apart Don Philip:
We will hold out hopes and dreams
Beide:
Forever in our hearts
And when the stars are falling, I'll keep calling
I will still love you
And when your dreams are fading, I'll be waiting
I will still love you
Don Philip:
Tell me how you feel
Britney:
I finally know love feels
Tell me if it's real
Don Philip:
My heart tells me it's real
Britney:
So real So real
And when the stars are falling, I'll keep calling
I will still love you
And when your dreams are fading, I'll be waiting
I will still love you
Beide:
Time may take us apart that's true
But I will always be there for you
You're in my heart you'll be in my dreams
No matter how many miles between
I promise you that I won't forget
The day we kissed or that day we met
The sky may fall and the stars may too
But I will still, I will still love you
And when the stars are falling, I'll keep calling
I will still love you
And when your dreams are fading, I'll be waiting
I will still love you",britney time may take us apart but i will still love you i promise britney oh oh oh oh oh oh yeah beide and when the stars stars are falling i'll keep calling britney i promise that you'll be my one my only everything i'll never be untrue don philip and i promise back that for your love i will do anything britney i will give you the stars don philip i will buy you the moon britney even through the longest of our nights don philip and even through the darkest days our beide love will find a way and when the stars are falling i'll keep calling i will still love you and when your dreams are fading i'll be waiting i will still love you britney you are my summer breeze my winter sun my springtime song my autumn touch of gold yeah don philip you are my sky my rain the earth in which my love grows strong beide the smile of my heart and the breath of my soul britney even if we find ourselves apart don philip we will hold out hopes and dreams beide forever in our hearts and when the stars are falling i'll keep calling i will still love you and when your dreams are fading i'll be waiting i will still love you don philip tell me how you feel britney i finally know love feels tell me if it's real don philip my heart tells me it's real britney so real so real and when the stars are falling i'll keep calling i will still love you and when your dreams are fading i'll be waiting i will still love you beide time may take us apart that's true but i will always be there for you you're in my heart you'll be in my dreams no matter how many miles between i promise you that i won't forget the day we kissed or that day we met the sky may fall and the stars may too but i will still i will still love you and when the stars are falling i'll keep calling i will still love you and when your dreams are fading i'll be waiting i will still love you
